id,pagefrom,title,description,sentanalyze,photolink,newslink
5,nur.kz,"Как стать счастливым, рассказали психологи","Как рассказала агентству доктор философских и психологических наук, постдок факультета психиатрии в Маунт-Синай Бет Израел (Нью-Йорк) Рафаэла Калати, вопрос счастья очень важен в современном мире.  ""Счастье — это быть живым, любить то, чем ты занимаешься, свою работу, деятельность. Также для счастья необходимо научиться сохранять баланс между сложными аспектами нашей жизни и простыми. Ключ к счастью — научиться принимать то, чего мы не можем изменить в нашей жизни, и нужно научиться позитивно воспринимать окружающий мир и искать положительные моменты, причины жить"", — сказала психолог.  Президент Международного союза психологических наук при ЮНЕСКО Сазасивэн Купер в свою очередь отметил, что у молодежи есть шанс все изменить, чтобы стать счастливыми.  ""Мы можем ответить на вопрос, как человечеству стать счастливым, посмотрев на молодых людей, которые имеют шанс все изменить. Чтобы обрести личное счастье, нужно понимать, каким человеком ты видишь себя, понимать свои приоритеты и находить тех людей, которые пом",1,https://netstorage-nur.akamaized.net/images/dab7be15cd5a3e97.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803511-kak-stat-scastlivym-rasskazali-psihologi.html
6,nur.kz,Восемь ошибок в семи предложениях: Собчак распекли за безграмотность,"Дело в том, что всего лишь в семи предложениях Ксения Анатольевна умудрилась сделать как минимум восемь орфографических и пунктуационных ошибок. На своеобразный «литературный стиль» Собчак обратил внимание Telegram-канал «Планерка».  Телеведущая решила похвастаться тем, что она стала совладелицей и партнером рекламного агенства June&July PR Agency.«Легко определить, когда Ксения Собчак пишет свои посты сама. Орфография и пунктуация курят в сторонке. Про правильность пробелов вообще молчим», — указали авторы.  Добавим, что на безграмотность Собчак обратили внимание даже ее поклонники.  «Вот так посмотришь и подумаешь: зачем учиться в школе, вузе, напрягаться, если можно заниматься такой *** и жить припеваючи?» — задается вопросом один из подписчиков аккаунта телеведущей.",1,https://netstorage-nur.akamaized.net/images/eef23500b53481d9.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803510-vosem-osibok-v-semi-predlozeniah-sobcak-raspekli-za-bezgramotnost.html
7,nur.kz,Уродливую статую Мелании Трамп установили рядом с ее родным городом,"Об этом сообщается на сайте столичной галереи Match.  Статуя установлена на берегу реки Савы в населенном пункте Рожно недалеко от родного города первой леди США — Севницы. Скульптура изображает Меланию Трамп в голубом платье, в котором она присутствовала на инаугурации супруга. Рукой она приветствует город.  Изваяние выполнено из дерева в жанре наивного искусства, что предполагает условность его восприятия. Так, заметна намеренная грубость при выполнении черт лица и фигуры.  В соцсетях неоднозначно оценили работу скульптура, посчитав ее непохожей на супругу американского лидера, пишет «Би-би-си». Так, пользователи нашли сходство статуи со Смурфеттой (героиня мультфильма «Смурфы» — прим. «Ленты.ру»), назвали ее причудливой, уродливой и позорной.  Автор концепции — американский художник Брэда Дауни. Отмечается, что ему принадлежит только идея скульптуры, саму работу выполнял наемный работник, который с помощью бензопилы претворил ее в жизнь. Показ статуи — часть выставки Ta Eho («Это Эхо»), которая открылась в",-1,https://netstorage-nur.akamaized.net/images/c15167f74d3910fb.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803502-urodlivuu-statuu-melanii-tramp-ustanovili-radom-s-ee-rodnym-gorodom.html
8,nur.kz,Названы гонорары российских юмористов,"Самый большой гонорар — у Максима Галкина. За одно выступление он требует 3 миллиона 581 тысячу рублей.  Артист Comedy Club Александр Ревва работает на корпоративах за сумму от 2 миллионов рублей, участница «Уральских пельменей» Юлия Михалкова требует 858 тысяч рублей. Пригласить на мероприятие Евгения Петросяна обойдется в 700 тысяч рублей.  В нижнем диапазоне цен (от 150 до 400 тысяч рублей) работают артисты «Кривого зеркала» (Александр Морозов, Владимир Моисеенко, Владимир Данилец) и выпускники «Аншлага» (Елена Воробей, Николай Лукинский, Клара Новикова, Геннадий Ветров).  Отмечается, что выступления коллективов стоят для заказчика дороже. Шоу «Уральских пельменей» начинается от полутора миллионов рублей, артистки Comedy Woman согласятся на выступление при цене от одного миллиона 790 тысяч за полчаса. «Новые русские бабки» потребуют 500 тысяч рублей за концертную программу продолжительностью в час.",1,https://netstorage-nur.akamaized.net/images/a4b8d41e35cdf126.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803499-nazvany-gonorary-rossijskih-umoristov.html
9,nur.kz,«Его предавали»: Масимов рассказал о переживаниях Назарбаева,"Масимов отметил, что всегда для Первого Президента главными были профессиональные качества человека.  «Непрофессионального человека он никогда не поставит на ту или иную должность. То есть профессионализм – это ключевой момент. Ну и второй момент – это, конечно, человеческие качества. Сколько может быть профессионалов, но «с гнильцой» внутри. Конечно, вокруг него и такие люди попадались, к сожалению. Несмотря на свой профессионализм, они его подводили и предавали. Ну, все знаем все примеры, которые существовали. Нурсултан Абишевич сильно переживал за некоторые ошибки, когда люди его предавали. Когда его предают, он очень сильно переживает. Жизнь такова, что это происходит», – подытожил глава ведомства.",-1,https://netstorage-nur.akamaized.net/images/37baba13c9354d74_w.jpg?imwidth=900,https://www.nur.kz/1803508-ego-predavali-masimov-rasskazal-o-perezivaniah-nazarbaeva.html
10,nur.kz,«Лучше уйти на один день раньше»: как Назарбаев рассказал Масимову о своей отставке,"Признание главы КНБ прозвучало в документальном фильм о Нурсултане Назарбаеве «Искусство быть Лидером», презентованном на телеканале «Хабар».  «За один-два дня до 19 марта Нурсултан Абишевич немного приоткрыл тайну в разговоре со мной о том, что будет принято такое решение, что он будет слагать с себя полномочия и дальше все будет двигаться в конституционном поле.  Я считал, что, может быть, этого делать не нужно, я считал, что, может быть, еще время не настало. Мой совет Нурсултану Абишевичу был: «Какой смысл сейчас принимать такое решение, может быть, не стоит торопиться, мандат истекает только в конце 2020 года».  Нурсултан Абишевич мне сказал, что лучше уйти на один день раньше, чем на один день позже: «И я принимаю такое решение, и ты поймешь, господин помощник, что я прав. Все нужно делать в свое время, и все нужно делать вовремя».  Жизнь показывает, что он прав», - заключил Масимов.  Напомним, 19 марта 2019 года Нурсултан Назарбаев сложил с себя полномочия президента. Должность перешла к спикеру сената",1,https://netstorage-nur.akamaized.net/images/680b804a5e7aa3b8.jpg?imwidth=900,https://www.nur.kz/1803507-lucse-ujti-na-odin-den-ranse-kak-nazarbaev-rasskazal-masimovu-o-svoej-otstavke.html
11,nur.kz,"Ильясов раскрыл тайну знаменитого ""веселого"" фото Назарбаева с Бушем-младшим","Чрезвычайный и полномочный посол РК в королевстве Нидерландов Магжан Ильясов поделился историей знаменитого снимка в фильме о Елбасы ""Искусство быть Лидером"".  ""Есть знаменитая фотография, на которой наша делегация во главе с Елбасы в Овальном кабинете и там все смеются. Все спрашивают: что там было, что там было?  А там была интересная история, потому что мы прибыли в Белый дом не сразу из Казахстана, напрямую, а остановились в Вашингтоне по приглашению Джорджа Буша-старшего, отца президента США на тот момент. Провели там незабываемые 48 часов.  Когда мы прибыли в Вашингтон, Джордж Буш-старший сказал:  ""Моему сыну передайте, пожалуйста, что на выходные мы будем в боулинг играть и я ему надеру задницу"". Вот он так прямо и сказал, потом обратился ко мне и сказал: ""Молодой человек, я прошу вас перевести слово в слово"". Когда Нурсултан Абишевич это услышал он спросил:  ""А удобно ли, президенту США такой месседж от Вас передавать?"".  Буш-старший говорит:  ""Ну это, как отец сыну передает, передайте, просьба такая""",1,https://netstorage-nur.akamaized.net/images/3ac2b73268ad3063.jpg?imwidth=900,https://www.nur.kz/1803506-ilasov-raskryl-tajnu-znamenitogo-veselogo-foto-nazarbaeva-s-busem-mladsim.html
12,nur.kz,10 креативных способов справиться с Bottle Cap Challenge,"Bottle Cap Challenge - пока самый популярный флешмоб этого лета.  В нем уже приняли участие актеры Джейсон Стейтем и Райан Рейнольдс, певцы Джонн Майер и Элли Голдинг, футболисты Поль Погба и Златан Ибрагимович и тысячи простых пользователей Сети.  Но некоторые считают, что просто открыть бутылку ногой - слишком просто и скучно. Предлагаем подборку 10 самых креативных способов поучаствовать в Bottle Cap Challenge.",1,https://netstorage-nur.akamaized.net/images/5ebae6d51813f1fd.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803488-10-kreativnyh-sposobov-spravitsa-s-bottle-cap-challenge.html
13,tengrinews,Ночной пляж или автомобиль: оптическая иллюзия озадачила Сеть,"Пользователи социальных сетей обсуждают новую оптическую иллюзию, где на фото изображена дверь автомобиля, но многие видят вместо этого ночной пляж, сообщает TengriMIX.  Вызвавший споры пост разместил пользователь с ником Nayem на своей странице в Twitter.",1,https://mix.tn.kz/userdata/news/2019/news_373169/thumb_b/photo_285577.jpg,https://mix.tn.kz/mixnews/nochnoy-plyaj-avtomobil-opticheskaya-illyuziya-ozadachila-373169/
14,nur.kz,Фото 16-летней Анджелины Джоли в нижнем белье впервые появились в Сети,"Знаменитый фотограф Шон Макколл опубликовал ранее неизданные снимки юной Анджелины Джоли. Фото были сделаны в 1991 году, сообщает издание Vintage Everyday.",1,https://netstorage-nur.akamaized.net/images/47e5947965aaf572.jpg?imwidth=900,https://www.nur.kz/1803484-foto-16-letnej-andzeliny-dzoli-v-niznem-bele-vpervye-poavilis-v-seti.html
15,vlast.kz,Десятки протестующих задержаны в столице и Алматы,"От мест задержаний уехало несколько десятков автобусов и автозаков, заполненных задержанными.  В Алматы аким Алмалинского района, прибывший на место, призвал собравшихся разойтись. В столице протестующие пытались перекрыть проспект Республики, однако эта попытка была пресечена полицией. Было задержано не менее сотни человек, среди них есть, как минимум, один журналист.  В столице во время задержаний неизвестные использовали перцовый баллончик.  Была также повреждена техника журналистов Радио ""Азаттык"". В столице им также неизвестные активно мешали проводить съемку, закрывая камеры зонтами.  В настоящее время в местах акций протеста практически отсутствует интернет.  За несколько дней до акций протеста, объявленных признанным судом экстремистским движением ДВК, несколько человек были задержаны за призывы принять в нем участие. Четыре человека в Алматы были арестованы, остальные подвергнуты административным арестам и штрафам.",-1,https://vlast.kz/media/pages/z9/1562420567ryfmg_1000x768.jpg,https://vlast.kz/novosti/34268-desatki-protestuusih-zaderzany-v-stolice-i-almaty.html
16,tengrinews,"Мне все обязаны, или Как правильно помогать нуждающимся","К доброте и благотворительности люди относятся по-разному. Одни поощряют чувство сострадания к другим, другие же предлагают следовать естественному отбору, ""мол, выживает сильнейший, а благотворительность делает принимающего помощь еще слабее и неблагодарнее"". TengriMIX  вместе с психологами и филантропами попытался разобраться, как правильно нужно помогать нуждающимся.   Нередко мы видим попрошаек на улицах своих городов. Многие из них просят милостыню вместе с детьми. Одни робко протягивают пустые ладони и молятся за ваше здоровье, другие громко кричат, словно призывая прочувствовать их боль. Многие проходят мимо. Но некоторые из чувства сострадания подкинут монетку. Мало кто при этом задумывается  о том, как уличные попрошайки оказались в такой ситуации. Бывает, в мыслях промелькнет: ""Лучше бы шли работать"". При этом для многих неприемлемо подойти к человеку, спросить, как его дела и в какой дополнительной помощи он нуждается.",-1,https://mix.tn.kz/userdata/news/2019/news_372460/thumb_b/photo_285102.jpg,https://mix.tn.kz/mixnews/mne-vse-obyazanyi-ili-kak-pravilno-pomogat-nujdayuschimsya-372460/
17,nur.kz,"""Умный город"" хотят сделать из Арыси (фото)","Сообщается, что на совещании заместитель премьер-министра поручил министерству цифрового развития, инноваций и аэрокосмической промышленности и нескольким компаниям, таким как ""Казахтелеком"" и ""Транстелеком"", совместно с акиматом Туркестанской области заняться вопросом создания ""умного города"".  Для этого в Арыси должны быть улучшены все сферы жизнедеятельности, начиная от безопасности и заканчивая коммунальными службами и интернетом.  Касымбек поручил привести в порядок городские системы водообеспечения и оросительные каналы.",1,https://netstorage-nur.akamaized.net/images/7081cdd65b4742da.jpg?imwidth=900,https://www.nur.kz/1803482-umnyj-gorod-hotat-sdelat-iz-arysi-foto.html
18,nur.kz,"Когда спишут штрафы и пени по кредитам казахстанцев, рассказали в Нацбанке","Согласно документу, АО ""Фонд проблемных кредитов"" будет выпускать облигации и размещать их.  После этого банки второго уровня и микрофинансовые организации должны погасить начисленную неустойку, то есть штрафы и пени. Это должно быть сделано до 30 июля текущего года.  Далее эти организации предоставляют данные о суммах прощенной неустойки по договорам банковского займа и предоставления микрокредита по состоянию на 1 июля 2019 года акционерному обществу ""Государственное кредитное бюро"". Срок исполнения - до 2 августа этого года.  Кредитное бюро предоставляет данные о суммах прощенной неустойки и по каждому кредиту в Фонд. Срок исполнения - до 9 августа 2019 года.  После этого Фонд заключает соглашение с каждой микрокредитной организацией и банком второго уровня о возмещении части списанных штрафов и пени. Условия возмещения предусмотрены постановлением.  Банки и микрокредитные организации обязаны представить данные о фактически прощенной задолженности по уплате неустойки в Нацбанк.  Срок исполнения, указанный",-1,https://netstorage-nur.akamaized.net/images/850434832a9c0af2.jpg?imwidth=900,https://www.nur.kz/1803475-kogda-spisut-strafy-i-peni-po-kreditam-kazahstancev-rasskazali-v-nacbanke.html
19,tengrinews,Кардиологи перестали рекомендовать популярное лекарство для защиты от инсульта,"Если вы здоровый пожилой человек, который ищет способ снизить риск сердечного приступа или инсульта, не прибегайте к этому старому средству – ежедневному приему низких доз ацетилсалициловой кислоты. Подобная терапия больше не рекомендуется в качестве профилактического средства для людей старшего возраста, у которых нет высокого риска или имеющихся сердечных заболеваний, говорится в новых рекомендациях Американской коллегии кардиологов и Американской ассоциации по проблемам сердца, сообщает ScienceDirect.  ""В настоящее время мы стали намного лучше справляться с такими факторами риска, как гипертензия, диабет и особенно с высоким уровнем холестерина. Эти существенные достижения, вероятно, сводят на нет любые ранее предполагаемые преимущества аспирина в первичной профилактике"", - считает кардиолог Кевин Кэмпбелл.",-1,https://mix.tn.kz/userdata/news/2019/news_373085/thumb_b/photo_285482.jpg,https://mix.tn.kz/mixnews/kardiologi-perestali-rekomendovat-populyarnoe-lekarstvo-373085/
20,vlast.kz,"Вышедших на акцию движения Oyan, Kazakhstan задержали в Шымкенте","Семерых участников акции ""Серуен"" гражданского движения Oyan, Kazakhstan! задержали в Шымкенте. Участников акции в Актобе опросила полиция. Об этом корреспонденту Vласти сообщила активист движения Асем Жапишева.  Она также сообщила, что среди задержанных в Шымкенте есть несовершеннолетние.  Как сообщили ей активисты из Актобе, беседовавшие с ними полицейские говорили участникам акции, что движение является незаконным.  Акция ""Серуен"" проходила 5 июля в Алматы, Шымкенте, Актау, Актобе и Таразе.",-1,https://vlast.kz/media/pages/fq/15623517810vn3y_1000x768.jpg,https://vlast.kz/novosti/34263-vysedsih-na-akciu-dvizenia-oyan-kazakhstan-zaderzali-v-symkente.html
21,nur.kz,Замакима Алматы Арман Кырыкбаев ушел в учебный отпуск,"Работал он на этой должности с 16 октября 2015 года.  Напомним, накануне должность замакима получил Ержан Бабакумаров.  На официальном сайте акимата Алматы сообщается, что Бабакумаров будет курировать сферы общественного развития, образования, культуры и спорта, общественного здоровья.  Новый замакима организует работу комиссий по делам женщин и семейно-демографической политики акима, по делам несовершеннолетних и защите их прав и прочие.",1,https://netstorage-nur.akamaized.net/images/dbf34b4c33e019d7.jpg?imwidth=900,https://www.nur.kz/1803473-zamakima-almaty-arman-kyrykbaev-usel-v-ucebnyj-otpusk.html
22,tengrinews,"Акушер спел 8 тысячам младенцев за 40 лет, и в честь него учредили праздник","Для более 8000 новорожденных среди первых звуков, которые они услышали, был голос доктора Kэpи Эндpю-Джaджa из американского Питтcбуpгa. Недавно он ушел на заслуженный отдых. TenrgiMIX со ссылкой на Faithpot рассказывает, как у врача появилось это хобби и почему он встречает малышей знаменитой песней Луи Армстронга.  Удивительный певец в белом халате 40 лет проработал в Pittsburgh Medical Center Magee-Womens Hospital. Там его прозвали поющим доктором. Врач не только помогал большому количеству появиться на свет, но и поднимал настроение их родителям. Джадж иcпoлнял caмыe paзныe кoмпoзиции: oт тpaдицoннoй Happy Birthday to You дo бeccмepтнoй клaccики What a Wonderful World Луи Apмcтpoнгa.",1,https://mix.tn.kz/userdata/news/2019/news_373065/thumb_b/photo_285448.jpg,https://mix.tn.kz/mixnews/akusher-spel-8-tyisyacham-mladentsev-40-let-v-chest-373065/
